,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
56,71,1504.628422,2.22e-30,9.108e-11.0497.0490,130.43750.720.000000,X,1,X,0,O,9P,9,q50422049,11010,4,0,17.0,19.0,
57,71,1504.628422,3.69e-29,1.514e-09.0497.0490,130.43750.720.000000,X,1,X,0,O,9P,9,d50422049,11010,4,0,17.0,19.0,
58,71,1506.573898,2.3599999999999997e-32,9.616e-13.0497.0490,128.49200.720.000000,X,1,X,0,O,9Q,8,d50422049,11010,4,0,17.0,17.0,
59,71,1506.573898,2.7099999999999997e-32,1.104e-12.0497.0490,128.49200.720.000000,X,1,X,0,O,9Q,8,q50422049,11010,4,0,17.0,17.0,
60,71,1506.618905,7.609999999999999e-29,4.055e-09.0497.0490,128.49200.720.000000,X,1,X,0,O,9O,8,q50422049,11010,4,0,13.0,17.0,
61,71,1506.650315,8.47e-29,3.949e-09.0497.0490,130.43750.720.000000,X,1,X,0,O,9O,9,q50422049,11010,4,0,15.0,19.0,
62,71,1506.6681859999999,9.729999999999999e-29,3.963e-09.0497.0490,128.39770.720.000000,X,1,X,0,O,9O,10,q50422049,11010,4,0,17.0,21.0,
63,71,1508.595791,2.59e-29,1.199e-09.0497.0490,128.49200.720.000000,X,1,X,0,O,9P,8,d50422049,11010,4,0,15.0,17.0,
64,71,1508.595791,2.6599999999999998e-30,1.232e-10.0497.0490,128.49200.720.000000,X,1,X,0,O,9P,8,q50422049,11010,4,0,15.0,17.0,
65,71,1516.2369130000002,2.11e-31,1.946e-11.0593.0600,42.20010.970.000000,X,1,X,0,M,5O,4,q50422049,11010,4,0,5.0,9.0,
66,71,1516.555582,3.78e-29,1.625e-09.0523.0520,81.58050.720.000000,X,1,X,0,O,7P,7,d50422049,11010,4,0,13.0,15.0,
67,71,1516.555582,3.68e-30,1.582e-10.0523.0520,81.58050.720.000000,X,1,X,0,O,7P,7,q50422049,11010,4,0,13.0,15.0,
68,71,1518.508675,7.089999999999999e-29,4.371e-09.0523.0520,79.60700.720.000000,X,1,X,0,O,7O,6,q50422049,11010,4,0,9.0,13.0,
69,71,1518.529087,3.95e-32,1.686e-12.0523.0520,79.60700.720.000000,X,1,X,0,O,7Q,6,d50422049,11010,4,0,13.0,13.0,
70,71,1518.529087,7.869999999999999e-32,3.359e-12.0523.0520,79.60700.720.000000,X,1,X,0,O,7Q,6,q50422049,11010,4,0,13.0,13.0,
71,71,1518.549593,8.219999999999999e-29,4.187e-09.0523.0520,81.58050.720.000000,X,1,X,0,O,7O,7,q50422049,11010,4,0,11.0,15.0,
72,71,1518.571469,9.889999999999999e-29,4.221e-09.0523.0520,79.56460.720.000000,X,1,X,0,O,7O,8,q50422049,11010,4,0,13.0,17.0,
73,71,1520.523099,4.6399999999999994e-30,2.347e-10.0523.0520,79.60700.720.000000,X,1,X,0,O,7P,6,q50422049,11010,4,0,11.0,13.0,
74,71,1520.523099,2.36e-29,1.194e-09.0523.0520,79.60700.720.000000,X,1,X,0,O,7P,6,d50422049,11010,4,0,11.0,13.0,
75,71,1528.372048,3.44e-29,1.809e-09.0555.0550,44.21170.720.000000,X,1,X,0,O,5P,5,d50422049,11010,4,0,9.0,11.0,
76,71,1528.372048,6.2399999999999995e-30,3.281e-10.0555.0550,44.21170.720.000000,X,1,X,0,O,5P,5,q50422049,11010,4,0,9.0,11.0,
