,0,1
203,2203.0,1.35662517e-19
204,2204.0,8.8988352e-32
205,2205.0,1.6783220199999999e-40
206,2206.0,1.05241026e-19
207,2207.0,4.71214459e-32
208,2208.0,7.440384659999999e-58
209,2209.0,5.567743059999999e-22
210,2210.0,7.936743020000001e-20
211,2211.0,1.19847338e-25
212,2212.0,4.50116929e-42
213,2213.0,5.94079865e-20
214,2214.0,7.33101892e-26
215,2215.0,2.4126745899999996e-39
216,2216.0,8.063576730000001e-20
217,2217.0,4.39985061e-26
218,2218.0,2.9101663e-33
219,2219.0,5.75293478e-20
220,2220.0,7.087639739999999e-34
221,2221.0,0.0
222,2222.0,2.15695501e-20
223,2223.0,1.41964495e-45
224,2224.0,1.5144018e-34
225,2225.0,1.47786268e-20
226,2226.0,6.814308199999999e-35
227,2227.0,4.72523889e-27
228,2228.0,1.89002984e-20
229,2229.0,1.2903541099999998e-27
230,2230.0,1.2907826800000001e-27
231,2231.0,1.2439740799999998e-20
232,2232.0,1.3836594699999997e-27
233,2233.0,4.21440692e-21
234,2234.0,7.28322298e-28
235,2235.0,5.2596087699999995e-36
236,2236.0,2.66742373e-21
237,2237.0,3.76275028e-28
238,2238.0,1.5506019099999995e-37
239,2239.0,1.65586618e-21
240,2240.0,6.05957185e-38
241,2241.0,1.85284396e-28
242,2242.0,1.0082781099999999e-21
243,2243.0,1.3073637e-28
244,2244.0,6.01984869e-22
245,2245.0,3.25821289e-39
246,2246.0,6.18462152e-29
247,2247.0,3.5260971e-22
248,2248.0,1.0520369399999999e-29
249,2249.0,1.4998391799999998e-40
250,2250.0,2.0274668600000002e-22
251,2251.0,0.0
252,2252.0,1.14333868e-22
253,2253.0,5.917850559999999e-42
254,2254.0,9.89215785e-31
255,2255.0,6.3270584e-23
256,2256.0,4.338455220000001e-31
257,2257.0,3.43609574e-23
258,2258.0,1.8690199699999999e-31
259,2259.0,5.83805726e-45
260,2260.0,1.83144858e-23
261,2261.0,3.2882474699999995e-32
262,2262.0,9.576608929999999e-24
263,2263.0,7.32137328e-32
264,2264.0,4.91764845e-24
265,2265.0,5.38784336e-33
266,2266.0,6.659977019999999e-50
267,2267.0,2.4788535699999997e-24
268,2268.0,8.2250826e-34
269,2269.0,1.22606427e-24
270,2270.0,3.12948218e-34
271,2271.0,1.16032633e-24
272,2272.0,1.17034802e-34
