,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
88,221,2205.143057,4.5060000000000005e-38,2.419e-08.0476.0480,4807.05090.710.000000,3,2,O,9q,344440,4,3,2,1,1,0,45.0,57.0
89,221,2208.685849,3.0089999999999997e-33,1.522e-08.0433.0430,2637.43790.620.000000,2,1,O,12q,344440,4,3,2,1,1,0,126.0,150.0
90,222,2209.112246,7.715999999999999e-31,1.129e-05.0448.0450,253.82300.650.000000,1,0,O,11q,344440,4,3,2,1,1,0,828.0,828.0
91,221,2211.493751,3.3449999999999996e-29,7.265e-09.0375.0370,477.17140.470.000000,1,0,O,15q,344440,4,3,2,1,1,0,81.0,93.0
92,221,2213.198046,9.599999999999999e-38,2.525e-08.0488.0490,4771.88140.730.000000,3,2,O,8q,344440,4,3,2,1,1,0,78.0,102.0
93,221,2216.906527,1.761e-33,1.577e-08.0448.0450,2590.14440.650.000000,2,1,O,11q,344440,4,3,2,1,1,0,57.0,69.0
94,222,2217.0910120000003,8.723999999999999e-31,1.138e-05.0463.0460,211.53220.680.000000,1,0,O,10q,344440,4,3,2,1,1,0,756.0,756.0
95,221,2219.876825,8.48e-29,7.500e-09.0396.0400,417.56110.520.000000,1,0,O,14q,344440,4,3,2,1,1,0,150.0,174.0
96,221,2221.220147,4.925e-38,2.649e-08.0499.0500,4740.61650.740.000000,3,2,O,7q,344440,4,3,2,1,1,0,33.0,45.0
97,222,2225.039191,9.578e-31,1.146e-05.0476.0480,173.08140.710.000000,1,0,O,9q,344440,4,3,2,1,1,0,684.0,684.0
98,221,2225.095241,4.005e-33,1.635e-08.0463.0460,2546.78620.680.000000,2,1,O,10q,344440,4,3,2,1,1,0,102.0,126.0
99,221,2228.2288550000003,5.242e-29,7.748e-09.0415.0420,361.91560.570.000000,1,0,O,13q,344440,4,3,2,1,1,0,69.0,81.0
100,221,2229.209086,9.671e-38,2.803e-08.0512.0510,4713.25730.750.000000,3,2,O,6q,344440,4,3,2,1,1,0,54.0,78.0
101,222,2232.95653,1.0179999999999999e-30,1.155e-05.0488.0490,138.47210.730.000000,1,0,O,8q,344440,4,3,2,1,1,0,612.0,612.0
102,221,2233.251717,2.209e-33,1.700e-08.0476.0480,2507.36480.710.000000,2,1,O,9q,344440,4,3,2,1,1,0,45.0,57.0
103,221,2236.54957,1.2629999999999997e-28,8.012e-09.0433.0430,310.23660.620.000000,1,0,O,12q,344440,4,3,2,1,1,0,126.0,150.0
104,221,2237.164588,4.496e-38,3.011e-08.0525.0520,4689.80470.760.000000,3,2,O,5q,344440,4,3,2,1,1,0,21.0,33.0
105,222,2240.842771,1.0409999999999998e-30,1.164e-05.0499.0500,107.70530.740.000000,1,0,O,7q,344440,4,3,2,1,1,0,540.0,540.0
106,221,2241.3756829999998,4.714e-33,1.774e-08.0488.0490,2471.88160.730.000000,2,1,O,8q,344440,4,3,2,1,1,0,78.0,102.0
107,221,2244.8386960000003,7.407e-29,8.298e-09.0448.0450,262.52610.650.000000,1,0,O,11q,344440,4,3,2,1,1,0,57.0,69.0
108,221,2245.086377,7.767e-38,3.335e-08.0542.0540,4670.25960.760.000000,3,2,O,4q,344440,4,3,2,1,1,0,30.0,54.0
109,222,2248.697658,1.02e-30,1.172e-05.0512.0510,80.78210.750.000000,1,0,O,6q,344440,4,3,2,1,1,0,468.0,468.0
110,221,2249.466863,2.4219999999999997e-33,1.862e-08.0499.0500,2440.33790.740.000000,2,1,O,7q,344440,4,3,2,1,1,0,33.0,45.0
111,221,2252.974178,2.986e-38,3.989e-08.0562.0560,4654.62280.770.000000,3,2,O,3q,344440,4,3,2,1,1,0,9.0,21.0
112,221,2253.095961,1.6880000000000001e-28,8.606e-09.0463.0460,218.78560.680.000000,1,0,O,10q,344440,4,3,2,1,1,0,102.0,126.0
113,222,2256.520935,9.46e-31,1.181e-05.0525.0530,57.70350.760.000000,1,0,O,5q,344440,4,3,2,1,1,0,396.0,396.0
114,221,2257.524983,4.762e-33,1.970e-08.0512.0510,2412.73470.750.000000,2,1,O,6q,344440,4,3,2,1,1,0,54.0,78.0
115,221,2260.827714,3.575e-38,6.814e-08.0588.0590,4642.89460.780.000000,3,2,O,2q,344440,4,3,2,1,1,0,6.0,30.0
116,221,2261.321091,9.329e-29,8.951e-09.0476.0480,179.01680.710.000000,1,0,O,9q,344440,4,3,2,1,1,0,45.0,57.0
